Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
Acuity Brands,Industrials,"Electronics, Electrical Equip.",Public,Georgia,742,yes,no,no,yes,17,yes,no,,no,no,13200,5857,4006,16,384,25,3480,Neil M. Ashe,5857,2023,756,yes,no,no,no,-14,no,yes,,no,no,no,12200,8281,3952,-1,346,-10,3408,Neil M. Ashe,8281,2024
Adams Resources & Energy,Energy,Petroleum Refining,Public,Texas,836,yes,no,no,yes,0,,,,no,no,882,97,3367,66,4,-71,384,Kevin J. Roycraft,97,2023,947,yes,no,no,no,-111,no,yes,,no,no,no,741,74,2745,-18,0,-94,361,Kevin J. Roycraft,74,2024
AdaptHealth,Health Care,Wholesalers: Health Care,Public,Pennsylvania,898,yes,no,no,yes,28,yes,no,,no,no,10900,1684,2971,20,69,-56,5220,Crispin Teufel,1684,2023,856,no,no,yes,no,42,yes,no,,no,no,no,10700,1530,3200,8,-679,-1079,4509,Suzanne Foster,1530,2024
Adobe,Technology,Computer Software,Public,California,233,yes,no,no,yes,2,yes,no,no,no,yes,29239,176769,17606,12,4756,-1,27165,Shantanu Narayen,176769,2023,210,yes,no,no,yes,23,yes,no,no,no,yes,yes,29945,226061,19409,10,5428,14,29779,Shantanu Narayen,226061,2024
ADT,Business Services,Diversified Outsourcing Services,Public,Florida,543,yes,no,no,no,31,yes,no,,no,no,22000,6630,6395,20,173,0,17873,James D. DeVries,6630,2023,568,yes,no,no,no,-25,no,yes,,no,no,no,14300,6118,6018,-6,463,249,15964,James D. DeVries,6118,2024
Advance Auto Parts,Retailing,Specialty Retailers: Other,Public,North Carolina,368,yes,no,no,no,-31,no,yes,no,no,no,53500,7208,11155,1,502,-18,12019,Shane M. O’Kelly,7208,2023,358,yes,no,no,yes,10,yes,no,no,no,no,no,54500,5072,11288,1,30,-94,12276,Shane M. O'Kelly,5072,2024
Advanced Drainage Systems,Materials,"Building Materials, Glass",Public,Ohio,930,yes,no,no,yes,0,,,,no,no,5635,6841,2769,40,271,21,2650,D. Scott Barbour,6841,2023,881,yes,no,no,yes,49,yes,no,,no,no,no,5870,13369,3071,11,507,87,2901,D. Scott Barbour,13369,2024
Advanced Micro Devices,Technology,Semiconductors and Other Electronic Components,Public,California,167,yes,no,yes,yes,59,yes,no,no,no,no,25000,157738,23601,44,1320,-58,67580,Lisa T. Su,157738,2023,181,yes,no,yes,yes,-14,no,yes,no,no,yes,no,26000,291697,22680,-4,854,-35,67885,Lisa T. Su,291697,2024
Advantage Solutions,Business Services,"Advertising, marketing",Public,California,738,no,no,no,yes,2,yes,no,,no,no,48500,509,4050,12,-1381,-2633,4262,David Peacock,509,2023,717,no,no,no,no,21,yes,no,,no,no,no,45000,1387,4225,4,-63,0,3779,David Peacock,1387,2024
AECOM,Engineering & Construction,Engineering & Construction,Public,Texas,310,yes,no,no,no,-50,no,yes,no,no,no,50000,11716,13496,-4,311,79,11139,W. Troy Rudd,11716,2023,291,yes,no,no,yes,19,yes,no,no,no,yes,no,52000,13341,14591,8,55,-82,11233,W. Troy Rudd,13341,2024
AES,Energy,Utilities: Gas and Electric,Public,Virginia,327,no,no,no,yes,6,yes,no,no,no,no,9100,16110,12617,13,-546,0,38363,Andrés R. Gluski,16110,2023,319,yes,no,no,yes,8,yes,no,no,no,yes,no,9600,12745,12668,0,249,0,44799,Andr?s R. Gluski,12745,2024
Aflac,Financials,"Insurance: Life, Health (stock)",Public,Georgia,207,yes,no,no,yes,-46,no,yes,no,no,no,12882,39467,19502,-12,4201,-3,131017,Daniel P. Amos,39467,2023,222,yes,no,no,no,-15,no,yes,no,no,yes,no,12785,49404,18701,-4,4659,11,126724,Daniel P. Amos,49405,2024
AGCO,Industrials,Construction and Farm Machinery,Public,Georgia,324,yes,no,no,yes,10,yes,no,no,no,no,25600,10119,12651,14,890,-1,10104,Eric P. Hansotia,10119,2023,295,yes,no,no,yes,29,yes,no,no,no,yes,no,27900,9180,14412,14,1171,32,11421,Eric P. Hansotia,9180,2024
Agilent Technologies,Technology,"Scientific,Photographic and  Control Equipment",Public,California,520,yes,no,no,yes,-16,no,yes,,no,no,18100,40907,6848,8,1254,4,10532,Michael R. McMullen,40907,2023,521,yes,no,no,no,-1,no,yes,,no,no,no,18100,42642,6833,0,1240,-1,10763,Padraig McDonnell,42643,2024
Agilon Health,Health Care,Health Care: Pharmacy and Other Services,Public,Texas,941,no,no,no,yes,0,,,,no,no,747,9812,2709,47,-107,0,1698,Steven J. Sell,9812,2023,681,no,no,no,yes,260,yes,no,,no,no,no,1117,2498,4583,69,-263,0,1741,Steven J. Sell,2498,2024
Air Products & Chemicals,Chemicals,Chemicals,Public,Pennsylvania,322,yes,no,no,yes,28,yes,no,no,no,no,20805,63784,12699,23,2256,8,27193,Seifi Ghasemi,63784,2023,322,yes,no,no,yes,0,no,no,no,no,no,no,21850,53857,12600,-1,2300,2,32002,Seifi Ghasemi,53857,2024
Airbnb,Technology,Internet Services and Retailing,Public,California,450,yes,yes,no,yes,78,yes,no,yes,no,no,6811,79682,8399,40,1893,0,16038,Brian Chesky,79682,2023,396,yes,yes,no,yes,54,yes,no,no,no,yes,no,6907,106740,9917,18,4792,153,20645,Brian Chesky,106740,2024
Akamai Technologies,Technology,Internet Services and Retailing,Public,Massachusetts,799,yes,yes,no,yes,-41,no,yes,,no,no,9811,12239,3617,4,524,-20,8303,F. Thomson Leighton,12239,2023,771,yes,yes,no,yes,28,yes,no,,no,no,no,10281,16663,3812,5,548,5,9900,F. Thomson Leighton,16663,2024
Alaska Air Group,Transportation,Airlines,Public,Washington,398,yes,no,no,yes,116,yes,no,yes,no,no,24196,5348,9646,56,58,-88,14186,Benito Minicucci,5348,2023,385,yes,no,no,yes,13,yes,no,no,no,no,no,24610,5408,10426,8,235,305,14613,Benito Minicucci,5408,2024
Albemarle,Chemicals,Chemicals,Public,North Carolina,493,yes,no,no,yes,287,yes,no,yes,no,no,7400,25928,7320,120,2690,2075,15457,J. Kent Masters,25928,2023,412,yes,no,no,yes,81,yes,no,no,no,no,no,9000,15483,9617,31,1574,-42,18271,J. Kent Masters,15483,2024
Albertsons,Food & Drug Stores,Food & Drug Stores,Public,Idaho,53,yes,no,no,no,-1,no,yes,no,yes,no,195750,11132,71887,3,1620,90,28123,Vivek Sankaran,12664,2023,53,yes,no,no,yes,0,no,no,no,yes,no,no,198650,12350,77650,8,1514,-7,26168,Vivek Sankaran,11333,2024
Alcoa,Materials,Metals,Public,Pennsylvania,331,no,no,no,yes,-19,no,yes,no,no,no,13100,7591,12451,2,-123,-129,14756,Roy C. Harvey,7591,2023,380,no,no,no,yes,-49,no,yes,no,no,no,no,13600,6067,10551,-15,-651,0,14155,William F. Oplinger,6067,2024
Alight,Business Services,Diversified Outsourcing Services,Public,Illinois,874,no,no,no,yes,-21,no,yes,,no,no,18000,5132,3132,7,-62,0,11235,Stephan D. Scholl,5132,2023,835,no,no,no,no,39,yes,no,,no,no,no,18000,5545,3410,9,-345,0,10782,Stephan D. Scholl,5545,2024
Align Technology,Health Care,Medical Products and Equipment,Public,Arizona,786,yes,no,no,yes,-87,no,yes,,no,no,23165,25641,3735,-6,362,-53,5948,Joseph M. Hogan,25641,2023,767,yes,no,no,no,19,yes,no,,no,no,no,21610,24628,3862,3,445,23,6084,Joseph M. Hogan,24628,2024
Alliance Resource Partners,Energy,"Mining, Crude-Oil Production",Public,Oklahoma,1000,yes,no,no,yes,0,,,,no,no,3371,2566,2407,53,577,224,2662,Joseph W. Craft III,2566,2023,983,yes,no,no,yes,17,yes,no,,no,no,no,3595,2568,2567,7,630,8,2788,Joseph W. Craft III,2568,2024
Alliant Energy,Energy,Utilities: Gas and Electric,Public,Wisconsin,721,yes,no,no,no,10,yes,no,,no,no,3129,13411,4205,15,686,4,20163,John O. Larsen,13411,2023,743,yes,no,yes,yes,-22,no,yes,,no,no,no,3281,12908,4027,-4,703,2,21237,Lisa M. Barton,12908,2024
Allison Transmission Holdings,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Indiana,931,yes,no,no,yes,9,yes,no,,no,no,3500,4172,2769,15,531,20,4671,David S. Graziosi,4172,2023,887,yes,no,no,yes,44,yes,no,,no,no,no,3700,7111,3035,10,673,27,5025,David S. Graziosi,7111,2024
Allstate,Financials,Insurance: Property and Casualty (Stock),Public,Illinois,84,no,no,no,no,-18,no,yes,no,yes,no,54250,29180,51412,-3,-1311,-182,97957,Thomas J. Wilson,26919,2023,73,no,no,no,no,11,yes,no,no,yes,yes,no,53200,45513,57094,11,-188,0,103362,Thomas J. Wilson,44050,2024
Ally Financial,Financials,Diversified Financials,Public,Michigan,338,yes,no,no,yes,7,yes,no,no,no,yes,11600,7668,12199,14,1714,-44,191826,Jeffrey J. Brown,7668,2023,257,yes,no,no,no,81,yes,no,no,no,no,yes,11100,12338,15971,31,1020,-40,196392,Michael G. Rhodes,12338,2024
Alpha Metallurgical Resources,Energy,"Mining, Crude-Oil Production",Public,Tennessee,732,yes,no,no,yes,233,yes,no,,no,no,3730,2342,4102,82,1449,402,2313,Charles Andrew Eidson,2342,2023,823,yes,no,no,yes,-91,no,yes,,no,no,no,4160,4308,3471,-15,722,-50,2406,Charles Andrew Eidson,4308,2024
Alphabet,Technology,Internet Services and Retailing,Public,California,8,yes,no,no,yes,0,no,no,no,yes,no,190234,1330201,282836,10,59972,-21,365264,Sundar Pichai,1585270,2023,8,yes,no,no,no,0,no,no,no,yes,yes,no,182502,1884633,307394,9,73795,23,402392,Sundar Pichai,2315182,2024
Altice USA,Telecommunications,Telecommunications,Public,New York,397,yes,no,no,yes,-42,no,yes,no,no,no,11000,1560,9648,-4,195,-80,33665,Dennis Mathew,1560,2023,424,yes,no,no,no,-27,no,yes,no,no,no,no,10600,1190,9237,-4,53,-73,31924,Dennis Mathew,1191,2024
Altria Group,"Food, Beverages & Tobacco",Tobacco,Public,Virginia,194,yes,no,no,yes,-29,no,yes,no,no,no,6300,79672,20688,-2,5764,133,36954,William F. Gifford Jr.,79672,2023,196,yes,no,no,yes,-2,no,yes,no,no,no,no,6400,76922,20502,-1,8130,41,38570,William F. Gifford Jr.,76922,2024
Amazon,Retailing,Internet Services and Retailing,Public,Washington,2,no,no,no,no,0,no,no,no,yes,no,1541000,1058440,513983,9,-2722,-108,462675,Andrew R. Jassy,1370373,2023,2,yes,no,no,no,0,no,no,no,yes,yes,no,1525000,1873676,574785,12,30425,0,527854,Andrew R. Jassy,2005565,2024
AMC Entertainment Holdings,Media,Entertainment,Public,Kansas,762,no,no,no,yes,158,yes,no,,no,no,18241,2601,3911,55,-974,0,9136,Adam M. Aron,2601,2023,659,no,no,no,yes,103,yes,no,,no,no,no,18347,979,4813,23,-397,0,9009,Adam M. Aron,979,2024
AMC Networks,Media,Entertainment,Public,New York,879,yes,no,yes,yes,-62,no,yes,,no,no,1948,756,3097,1,8,-97,5634,Kristin A. Dolan,756,2023,953,yes,no,yes,no,-74,no,yes,,no,no,no,1900,528,2712,-12,216,2737,4970,Kristin A. Dolan,528,2024
Ameren,Energy,Utilities: Gas and Electric,Public,Missouri,480,yes,no,no,yes,20,yes,no,no,no,no,9244,22675,7662,25,1074,8,37904,Martin J. Lyons Jr.,22675,2023,494,yes,no,no,yes,-14,no,yes,no,no,no,no,9372,19711,7213,-6,1152,7,40830,Martin J. Lyons Jr.,19711,2024
American Airlines Group,Transportation,Airlines,Public,Texas,89,yes,no,no,yes,25,yes,no,no,yes,no,129700,9629,48971,64,127,0,64716,Robert D. Isom,11869,2023,86,yes,no,no,yes,3,yes,no,no,yes,no,no,132100,10050,52788,8,822,547,63058,Robert D. Isom,6947,2024
American Axle & Manufacturing,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Michigan,588,yes,no,no,yes,-1,no,yes,,no,no,19000,912,5802,12,64,990,5469,David C. Dauch,912,2023,561,no,no,no,no,27,yes,no,,no,no,no,19000,865,6080,5,-34,-152,5356,David C. Dauch,865,2024
American Eagle Outfitters,Retailing,Specialty Retailers: Apparel,Public,Pennsylvania,649,yes,no,no,no,-44,no,yes,,no,no,24000,2628,4990,0,125,-70,3421,Jay L. Schottenstein,2628,2023,626,yes,no,no,yes,23,yes,no,,no,no,no,26700,5085,5262,5,170,36,3558,Jay L. Schottenstein,5085,2024
American Electric Power,Energy,Utilities: Gas and Electric,Public,Ohio,205,yes,no,yes,yes,14,yes,no,no,no,no,16974,46806,19640,17,2307,-7,93469,Julia A. Sloat,46806,2023,217,yes,no,no,yes,-12,no,yes,no,no,no,no,17250,45339,18982,-3,2208,-4,96684,William J. Fehrman,45339,2024
American Express,Financials,Diversified Financials,Public,New York,77,yes,no,no,yes,8,yes,no,no,yes,yes,77300,122734,55625,27,7514,-7,228354,Stephen J. Squeri,130357,2023,58,yes,no,no,no,19,yes,no,no,yes,yes,yes,74600,163946,67364,21,8374,11,261108,Stephen J. Squeri,175510,2024
American Family Insurance Group,Financials,Insurance: Property and Casualty (Stock),Private,Wisconsin,301,no,no,no,no,-50,no,yes,no,no,no,12990,0,13814,-6,-1904,-359,36088,William Westrate,0,2023,243,no,no,no,no,58,yes,no,no,no,no,no,12417,0,17000,23,-891,0,38024,William Westrate,0,2024
American Financial Group,Financials,Insurance: Property and Casualty (Stock),Public,Ohio,510,yes,no,no,yes,-56,no,yes,,no,no,6900,10352,7040,-6,898,-55,28831,Carl H. Lindner lll/S. Craig Lindner,10352,2023,470,yes,no,no,yes,40,yes,no,yes,no,no,no,8500,11418,7827,11,852,-5,29787,Carl H. Lindner lll/S. Craig Lindner,11418,2024
American International Group,Financials,Insurance: Property and Casualty (Stock),Public,New York,76,yes,no,no,no,-9,no,yes,no,yes,no,26200,36948,56437,8,10276,10,526634,Peter S. Zaffino,42774,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
American Tower,Financials,Real estate,Public,Massachusetts,373,yes,no,no,yes,2,yes,no,no,no,no,6391,95150,10711,14,1766,-31,67195,Thomas A. Bartlett,95150,2023,363,yes,no,no,no,10,yes,no,no,no,no,no,5643,92146,11144,4,1483,-16,66028,Steven O. Vondran,92147,2024
American Water Works,Energy,Utilities: Gas and Electric,Public,New Jersey,774,yes,no,yes,yes,-72,no,yes,,no,no,6500,28513,3792,-4,820,-35,27787,M. Susan Hardwick,28513,2023,714,yes,no,yes,no,60,yes,no,,no,no,no,6500,23809,4234,12,944,15,30298,M. Susan Hardwick,23809,2024
Americold Realty Trust,Financials,Real estate,Public,Georgia,904,no,no,no,no,-11,no,yes,,no,no,15329,7684,2915,7,-19,0,8105,George F. Chappelle Jr.,7684,2023,955,no,no,no,no,-51,no,yes,,no,no,no,14632,7072,2703,-7,-336,0,7869,George F. Chappelle Jr.,7072,2024
Ameriprise Financial,Financials,Diversified Financials,Public,Minnesota,289,yes,no,no,yes,-12,no,yes,no,no,no,13500,32228,14347,7,2559,-7,158468,James M. Cracchiolo,32228,2023,254,yes,no,no,yes,35,yes,no,no,no,no,no,13800,43928,16096,12,2556,0,175191,James M. Cracchiolo,43928,2024
AmerisourceBergen,Health Care,Wholesalers: Health Care,Public,Pennsylvania,11,yes,no,no,yes,-1,no,yes,no,yes,no,41500,32384,238587,12,1699,10,56561,Steven H. Collis,38809,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Ametek,Technology,"Scientific,Photographic and  Control Equipment",Public,Pennsylvania,570,yes,no,no,yes,-7,no,yes,,no,no,19600,33467,6151,11,1160,17,12431,David A. Zapico,33467,2023,536,yes,no,no,yes,34,yes,no,,no,no,no,21500,42289,6597,7,1313,13,15024,David A. Zapico,42289,2024
Amgen,Health Care,Pharmaceuticals,Public,California,154,yes,no,no,yes,-14,no,yes,no,no,no,25200,129089,26323,1,6552,11,65121,Robert A. Bradway,129089,2023,151,yes,no,no,yes,3,yes,no,no,no,yes,no,26700,152372,28190,7,6717,2,97154,Robert A. Bradway,152373,2024
Amica Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),Private,Rhode Island,963,no,no,no,yes,-83,no,yes,,no,no,3545,0,2602,-6,-176,-250,6487,Edmiund Shallcross III,0,2023,940,no,no,no,yes,23,yes,no,,no,no,no,3597,0,2772,7,-218,0,6668,Edmiund Shallcross III,0,2024
Amkor Technology,Technology,Semiconductors and Other Electronic Components,Public,Arizona,508,yes,no,no,yes,8,yes,no,,no,no,31300,6382,7092,16,766,19,6822,Guillaume Marie Jean Rutten,6382,2023,540,yes,no,no,no,-32,no,yes,,no,no,no,28700,7928,6503,-8,360,-53,6771,Guillaume Marie Jean Rutten,7928,2024
AMN Healthcare Services,Health Care,Health Care: Pharmacy and Other Services,Public,Texas,628,yes,no,yes,yes,66,yes,no,,no,no,4230,3407,5243,32,444,36,2888,Caroline S. Grace,3407,2023,774,yes,no,yes,no,-146,no,yes,,no,no,no,3585,2368,3789,-28,211,-53,2924,Caroline S. Grace,2368,2024
Amphenol,Technology,Network and Other Communications Equipment,Public,Connecticut,326,yes,no,no,yes,15,yes,no,no,no,no,91000,48591,12623,16,1902,20,15326,R. Adam Norwitt,48591,2023,325,yes,no,no,yes,1,yes,no,no,no,yes,no,95000,69193,12555,0,1928,1,16526,R. Adam Norwitt,69193,2024
Analog Devices,Technology,Semiconductors and Other Electronic Components,Public,Massachusetts,344,yes,no,no,no,119,yes,no,no,no,no,24450,99764,12014,64,2749,98,50302,Vincent T. Roche,99764,2023,335,yes,no,no,yes,9,yes,no,no,no,no,no,26000,98086,12306,2,3315,21,48794,Vincent T. Roche,98086,2024
Andersons,"Food, Beverages & Tobacco",Food Production,Public,Ohio,239,yes,no,no,no,56,yes,no,no,no,no,2244,1396,17351,36,131,26,4608,Patrick E. Bowe,1396,2023,285,yes,no,no,yes,-46,no,yes,no,no,no,no,2297,1953,14750,-15,101,-23,3855,Patrick E. Bowe,1953,2024
Annaly Capital Management,Financials,Diversified Financials,Public,New York,857,yes,no,no,no,10,yes,no,,no,no,161,9438,3270,15,1725,-28,81851,David L. Finkelstein,9438,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Antero Resources,Energy,"Mining, Crude-Oil Production",Public,Colorado,504,yes,yes,no,yes,135,yes,no,,no,no,586,6817,7138,54,1899,0,14118,Paul M. Rady,6817,2023,670,yes,yes,no,yes,-166,no,yes,,no,no,no,604,8804,4682,-34,243,-87,13619,Paul M. Rady,8804,2024
Anywhere Real Estate,Financials,Real estate,Public,New Jersey,517,no,no,no,no,-90,no,yes,,no,no,8958,583,6908,-14,-287,-184,6383,Ryan M. Schneider,583,2023,591,no,no,no,no,-74,no,yes,,no,no,no,8028,686,5636,-18,-97,0,5839,Ryan M. Schneider,687,2024
APA,Energy,"Mining, Crude-Oil Production",Public,Texas,341,yes,no,no,yes,90,yes,no,no,no,no,2273,11213,12132,53,3674,278,13147,John J. Christmann IV,11213,2023,455,yes,no,no,no,-114,no,yes,no,no,no,no,2271,10367,8192,-32,2855,-22,15244,John J. Christmann IV,10367,2024
APi Group,Engineering & Construction,Engineering & Construction,Public,Minnesota,533,yes,no,no,yes,168,yes,no,,no,no,26000,5272,6558,66,73,55,8091,Russell A. Becker,5272,2023,509,yes,no,no,yes,24,yes,no,,no,no,no,29000,9588,6928,6,153,110,7590,Russell A. Becker,9588,2024
Apollo Global Management,Financials,Securities,Public,New York,356,no,yes,no,yes,30,yes,no,no,no,no,4258,36042,11627,27,-3213,-275,259333,Marc Rowan,36042,2023,136,yes,yes,no,yes,220,yes,no,no,no,no,no,6855,63890,32644,181,5047,0,313488,Marc Rowan,69703,2024
Apple,Technology,"Computers, Office Equipment",Public,California,4,yes,no,no,yes,-1,no,yes,no,yes,no,164000,2609039,394328,8,99803,5,352755,Timothy D. Cook,3051211,2023,3,yes,no,no,no,1,yes,no,no,yes,yes,no,161000,2647974,383285,-3,96995,-3,352583,Timothy D. Cook,3594309,2024
Applied Industrial Technologies,Wholesalers,Wholesalers: Diversified,Public,Ohio,770,yes,no,no,yes,22,yes,no,,no,no,6100,5486,3811,18,257,78,2453,Neil A. Schrimsher,5486,2023,696,yes,no,no,yes,74,yes,no,,no,no,no,6200,7639,4413,16,347,35,2743,Neil A. Schrimsher,7639,2024
Applied Materials,Technology,Semiconductors and Other Electronic Components,Public,California,155,yes,no,no,yes,1,yes,no,no,no,no,33000,103806,25785,12,6525,11,26726,Gary E. Dickerson,103806,2023,158,yes,no,no,yes,-3,no,yes,no,no,yes,no,34000,171356,26517,3,6856,5,30729,Gary E. Dickerson,171356,2024
AppLovin,Technology,Computer Software,Public,California,914,no,yes,no,yes,-38,no,yes,,no,no,1691,5928,2817,1,-193,-644,5848,Adam Foroughi,5928,2023,847,yes,yes,no,yes,67,yes,no,,no,no,no,1731,22796,3283,16,357,0,5359,Adam Foroughi,22796,2024
AptarGroup,Materials,"Packaging, Containers",Public,Illinois,847,yes,no,no,yes,-51,no,yes,,no,no,13500,7728,3322,3,239,-2,4204,Stephan B. Tanda,7728,2023,818,yes,no,no,yes,29,yes,no,,no,no,no,13800,9521,3488,5,284,19,4452,Stephan B. Tanda,9521,2024
Aramark,Business Services,Diversified Outsourcing Services,Public,Pennsylvania,253,yes,no,no,yes,61,yes,no,no,no,no,273875,9326,16327,35,195,0,15082,John J. Zillmer,9326,2023,220,yes,no,no,no,33,yes,no,no,no,no,no,262550,8535,18854,16,674,247,16871,John J. Zillmer,8535,2024
ArcBest,Transportation,"Trucking, Truck Leasing",Public,Arkansas,621,yes,no,yes,yes,75,yes,no,,no,no,15700,2242,5324,34,298,40,2494,Judy R. McReynolds,2242,2023,689,yes,no,yes,no,-68,no,yes,,no,no,no,15000,3349,4483,-16,195,-34,2485,Judy R. McReynolds,3349,2024
Arch Resources,Energy,"Mining, Crude-Oil Production",Public,Missouri,787,yes,no,no,yes,193,yes,no,,no,no,3404,2463,3725,69,1331,294,2433,Paul A. Lang,2463,2023,862,yes,no,no,no,-75,no,yes,,no,no,no,3404,2934,3146,-16,464,-65,2484,Paul A. Lang,2934,2024
Archer Daniels Midland,"Food, Beverages & Tobacco",Food Production,Public,Illinois,35,yes,no,no,yes,3,yes,no,no,yes,no,41181,43530,101556,19,4340,60,59774,Juan R. Luciano,43331,2023,43,yes,no,no,no,-8,no,yes,no,yes,yes,no,41008,32024,93935,-8,3483,-20,54631,Juan R. Luciano,31347,2024
Arconic,Materials,Metals,Private,Pennsylvania,426,no,no,no,no,26,yes,no,no,no,no,11550,2607,8961,19,-182,0,6015,Chris Ayers,2607,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
